[Title];;;;;;;;;;;;;;;;;;;;;;;;;
Title;;;;;;;;;;;;;;;;;;;;;;;;;
Requirement_file_derived_from_VS_for_General_Radio_Performance_30/10264-CRH1090446 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
[Open-issues_];;;;;;;;;;;;;;;;;;;;;;;;;
Date;Revision;User;Mantis;Comment;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
[Abbrevations];;;;;;;;;;;;;;;;;;;;;;;;;
Abbrevation;;;;;;;;;;;;;;;;;;;;;;;;;
VS_=_Verification_Specification;;;;;;;;;;;;;;;;;;;;;;;;;
*_=_Wildcard,_any_parameter_value_will_match_wildcard;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
[Description];;;;;;;;;;;;;;;;;;;;;;;;;
Comment;;;;;;;;;;;;;;;;;;;;;;;;;
For narrowband blocking and inband blocking instead of specifiying the InterfererLevel(dBm) specifying the p0 it will take it from the selectivity table, however this can not be done on outband. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
[History];;;;;;;;;;;;;;;;;;;;;;;;;
Date;Revision;User;Comment;;;;;;;;;;;;;;;;;;;;;;
08-25-2015;PA1;EVASICH;Derived from BLK B66A Limits;;;;;;;;;;;;;;;;;;;;;;
20150930;PA2;ELITANS;Chnage to CW for 3400-3800 blk outband;;;;;;;;;;;;;;;;;;;;;;
20151014;PA2;ELITANS;SelectivityReq was revered between UTRA and EUTRA;;;;;;;;;;;;;;;;;;;;;;
[Specification];;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;;;;;;;;;;;;;;;;;;;;;;;
Internal;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
[RequirementValidFor];;;;;;;;;;;;;;;;;;;;;;;;;
Requirement;RadioUnitType;BaseStationClass;GainSetting(dB);CarrierLocation;LDuplexMode;CarrierStandard;MeasuredPath;TestType;TestScope;Tag;Comment;;;;;;;;;;;;;;
Na;*;*;17;*;*;*;RfToData;Outband;*;LW_PF52_RfToData_BGO;;;;;;;;;;;;;;;
Na;*;*;*;*;*;*;RfToData;GeneralInband;*;LW_PF52_RfToData_BGI;;;;;;;;;;;;;;;
Na;*;*;*;*;*;*;RfToData;NarrowbandInband;*;WL_PF52_RfToData_BGN;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
[LW_PF52_RfToData_BGO];;;;;;;;;;;;;;;;;;;;;;;;;
